Nome;CPF;Email;Telefone
Ana Silva;12345678909;ana.silva@email.com;98999990001
Bruno Souza;11111111111;bruno.souzaemail.com;98999990002
;22222222222;carla@email.com;98999990003
Diego Lima;abc123;diego@email.com;98999990004
Eduarda Alves;33333333333;eduarda@email;telefone
Felipe Costa;44444444444;felipe.costa@email.com;98999990005
Gabriela Rocha;55555555555;gabriela@email.com;
Henrique Dias;66666666666;henrique@email.com;98A99990006
Isabela Martins;77777777777;isabela@email.com;98999990007
João Pedro;88888888888;joao@email;9899999000
